146858,-0.03,0.01,1.00,-0.43,-0.24,0.24
146868,-0.02,0.01,1.00,1.83,-0.31,-2.20
146878,-0.02,0.01,1.00,-0.55,-0.67,0.73
146888,-0.03,0.01,1.01,0.43,0.67,-1.77
146898,-0.03,0.01,1.00,1.59,0.12,-3.11
146908,-0.02,0.01,1.00,0.18,-0.18,-1.46
146918,-0.03,0.01,1.01,1.10,0.00,-1.83
146928,-0.03,0.01,1.01,-0.49,-0.37,-0.06
146938,-0.03,0.01,1.00,0.73,0.31,-1.22
146948,-0.03,0.00,1.01,0.00,0.49,0.92
146958,-0.03,0.01,1.01,0.61,-0.85,-0.06
146968,-0.02,0.01,0.99,-1.22,-0.73,0.61
146978,-0.02,0.00,1.00,-0.43,-0.55,0.00
146988,-0.02,0.01,1.00,0.67,-0.12,-0.37
146998,-0.02,0.00,1.01,0.12,0.24,0.06
147008,-0.03,0.01,1.00,-0.55,-0.18,-0.49
147018,-0.02,0.01,1.00,-1.04,0.06,-0.18
147028,-0.02,0.01,1.01,0.98,0.37,-0.61
147038,-0.03,0.01,1.00,0.12,-0.31,0.24
147048,-0.03,0.01,1.02,-0.49,-0.24,-0.12
147058,-0.02,0.01,1.01,1.16,0.00,-1.65
147068,-0.03,0.01,1.00,0.18,-0.06,-1.10
147078,-0.02,0.01,1.00,0.37,0.31,-1.22
147088,-0.02,0.01,1.00,1.04,-0.12,0.73
147098,-0.03,0.01,1.00,0.85,-0.18,-0.98
147108,-0.02,0.02,1.00,0.00,0.12,-0.85
147118,-0.03,0.01,1.00,0.67,-0.73,-2.26
147128,-0.02,0.01,1.00,-0.06,-1.10,0.92
147138,-0.03,0.00,1.00,-0.92,-0.12,1.04
147148,-0.02,0.01,1.01,-0.73,-1.10,1.22
147158,-0.03,0.01,1.00,0.49,0.55,0.49
147168,-0.02,0.01,1.00,-1.04,0.24,1.59
147178,-0.03,0.01,1.00,-0.37,-0.12,-0.92
147188,-0.03,0.01,1.00,-0.18,0.31,-1.83
147198,-0.02,0.01,1.00,-0.43,-0.85,0.79
147208,-0.03,0.01,1.01,1.34,0.00,-2.87
147218,-0.02,0.01,1.01,-1.16,-0.43,1.71
147228,-0.02,0.01,1.01,1.16,-0.43,-1.95
147238,-0.03,0.01,1.00,-0.06,-0.06,0.00
147248,-0.02,0.00,1.00,0.73,-0.18,-1.59
147258,-0.02,0.01,1.01,0.37,0.06,-1.53
147268,-0.02,0.00,1.01,0.18,-0.49,-0.43
147278,-0.03,0.01,1.01,0.92,0.43,-2.38
147288,-0.02,0.00,1.00,-0.49,-0.49,-0.61
147298,-0.02,0.01,1.00,0.24,-0.06,0.24
147308,-0.03,0.01,1.01,-0.12,-0.06,1.16
147318,-0.02,0.02,1.00,-0.73,-0.12,1.71
147328,-0.02,0.01,1.00,-0.85,-0.61,1.16
147338,-0.03,0.01,1.00,0.00,-0.67,0.06
147348,-0.03,0.02,1.00,-1.10,-0.67,1.71
147358,-0.03,0.01,1.01,-1.28,0.37,2.14
147368,-0.03,0.01,1.00,0.06,-0.43,-0.06
147378,-0.03,0.01,1.00,0.61,-0.18,0.55
147388,-0.03,0.01,1.00,0.43,0.12,-0.73
147398,-0.03,0.01,1.00,-0.12,-0.73,-1.22
147408,-0.03,0.01,1.00,1.04,0.24,-1.22
147418,-0.02,0.00,1.01,1.89,0.31,-3.36
147428,-0.02,0.00,1.01,-0.43,0.67,-0.49
147438,-0.02,0.00,1.00,0.00,-0.37,-2.20
147448,-0.02,0.01,1.01,0.73,-0.61,-1.53
147458,-0.02,0.01,1.00,1.16,0.31,-2.32
147468,-0.03,0.01,1.00,-0.85,0.12,1.34
147478,-0.03,0.01,1.01,1.10,-0.24,-1.46
147488,-0.03,0.01,1.01,-1.22,-0.18,1.59
147498,-0.03,0.01,1.01,-0.18,-0.67,0.61
147508,-0.03,0.01,1.01,-0.37,-0.18,0.55
147518,-0.03,0.02,1.00,-0.24,-0.67,0.85
147528,-0.03,0.01,1.00,-0.61,-0.12,0.92
147538,-0.03,0.01,1.00,-0.67,-1.04,1.22
147548,-0.02,0.01,1.00,0.55,0.67,-1.04
147558,-0.02,0.01,1.01,-0.18,0.31,0.73
147568,-0.02,0.01,1.00,1.59,0.06,-2.01
147578,-0.02,0.01,1.01,0.61,0.24,-0.61
147588,-0.02,0.01,1.01,1.89,0.24,-1.28
147598,-0.03,0.01,1.01,0.00,0.06,-0.98
147608,-0.02,0.01,1.01,0.98,-0.12,-3.30
147618,-0.02,0.01,1.00,1.28,0.92,-1.83
147628,-0.03,0.01,1.00,2.81,-0.18,-2.87
147638,-0.02,0.02,1.00,2.01,0.67,-3.91
147648,-0.02,0.01,1.00,-0.43,-0.31,0.31
147658,-0.03,0.01,1.01,1.10,-0.73,-2.08
147668,-0.03,0.02,1.00,0.00,-0.37,-0.37
147678,-0.03,0.02,1.01,-0.37,0.18,0.43
147688,-0.03,0.01,1.00,0.00,-0.31,1.34
147698,-0.03,0.01,1.01,-1.04,-0.31,1.34
147708,-0.03,0.02,1.01,0.12,0.43,1.28
147718,-0.03,0.01,1.00,-1.28,-0.31,2.08
147728,-0.02,0.01,1.00,-0.06,0.31,-0.67
147738,-0.03,0.01,1.00,-1.28,0.31,2.01
147748,-0.02,0.01,1.01,0.24,0.24,-0.92
147758,-0.03,0.01,1.00,-0.31,-0.43,-0.06
